Title,Ingredients
西班牙金枪鱼沙拉,"['超市罐头装半盒金枪鱼(in spring water)', '2大片生菜', '5个圣女果', '半根黄瓜', '半个红柿椒', '半个紫洋葱', '1个七成熟水煮蛋', '适量红酒醋', '适量胡椒', '适量橄榄油']"
红烧滩羊肉,"['1kg羊肉', '5片姜', '3瓣蒜', '适量花椒', '3勺老抽', '3片香叶', '2个八角', '1个干辣椒', '1块桂皮', '2勺料酒', '适量盐', '3根香菜', '2个小洋葱', '适量乱泉水']"
香草布里欧修吐司 少油少糖,"['【烫种】', '50克高筋面粉', '5克糖', '5克盐', '80克开水', '【中种】', '250克高筋面粉', '10克香草糖', '2克酵母', '40克淡奶油', '120克+-10克牛奶', '【主面团】', '250克高筋面粉', '25克奶粉', '50克，喜甜加量+10～30克香草糖', '2.5克盐', '6克酵母', '2个，约100克鸡蛋', '60克+-10克牛奶', '40-60克黄油/椰子油', '适量，可不加葡萄干']"
可可咖啡曲奇,"['100g黄油', '65g糖粉', '100g常温淡奶油25℃左右(冬天需温热到45℃）', '120g低筋面粉', '16g可可粉', '4g速溶咖啡粉', '50g玉米淀粉', '10g杏仁粉', '若干巧克力豆']"
西红柿肥牛汤（2人食快手菜）,"['150克肥牛', '1个西红柿', '1把金针菇', '5克糖', '6克盐', '1勺耗油', '2勺生抽', '1勺番茄酱', '1嘬香葱']"
西葫芦水晶饺,"['一根西葫芦', '一根杏鲍菇', '8朵泡发香菇', '一小把虾米', '适量黑胡椒', '淀粉水', '盐', '蚝油', '500克水晶饺子粉', '400克热水']"
香肠菜饭,"['2勺大米', '2根香肠', '2两鸡毛菜（或青菜）', '1勺盐', '适量油（猪油）', '适量水']"
橙子香蕉                                        做何炅老师的酸奶蛋糕,"['两瓶酸奶', '两个全蛋', '半个橙子', '一勺糖', '一勺盐', '八汤匙（约40g）面粉', '半根香蕉', '若干葡萄干', '若干坚果碎']"
简易版肉臊夹馍,"['肉馅', '面粉', '几个（香菇最好草菇也可）蘑菇', '胡萝卜', '青椒', '适量葱']"
小朋友超喜欢的巧克力奶香馒头（自发粉版）,"['200克（雪健自发面粉）自发面粉', '100克（巧克力牛奶）牛奶', '8克白糖', '5克（雀巢巧克力，可不加）炼乳']"
脆馕烤叫花鸡,"['1只600g童子鸡', '一片荷叶', '100克水', '6茶匙耗油', '250克高筋面粉', '1个鸡蛋', '半茶匙白胡椒', '3茶匙白糖', '2茶匙盐', '少许葱姜蒜', '5克酵母']"
减脂早餐-花样吐司,"['1个鸡蛋', '2片吐司', '适量玉米粒', '1杯牛奶', '适量黑胡椒']"
紫菜蛋花汤,"['紫菜', '适量鸡精', '1个鸡蛋', '适量盐', '适量醋']"
酸枣卷,"['1斤酸枣', '100克白糖', '1/2勺盐', '5勺辣椒粉', '适量干紫苏叶']"
水果果冻｜健康卫生,"['60g水', '150g雪碧', '10g吉利丁片', '20g细砂糖', '3g柠檬汁', '西瓜', '奇异果']"
低糖版～椰奶千层马蹄糕,"['250克马蹄粉', '50克红片糖', '50克冰片糖', '700克水', '400克椰浆', '150克牛奶']"
水煮鱼,"['2条冷冻去皮巴沙鱼', '2克花椒', '10克干辣椒', '2-3段大葱', '3-5片姜片', '2颗独蒜', '一小勺盐', '10克淀粉', '35克玉米油', '20克生抽', '20克料酒', '一小勺黑胡椒粉', '5克糖', '50克四川豆瓣', '一个蛋白', '适量白芝麻', '适量香葱']"
鱼香茄子,"['500g主料：茄子', '8个泡红椒', '1块配料：姜', '1头蒜', '2颗葱', '5g盐', '8g酱油', '8g白糖、醋', '15g湿淀粉', '300g高汤', '5g菜油']"
自制阿胶糕,"['250克东阿阿胶', '500毫升黄酒一瓶', '250克红枣去核', '250克核桃烤熟', '250克芝麻炒熟', '50克玫瑰花瓣', '50克枸杞', '250克冰糖']"
鲶鱼烧茄子,"['若干鲶鱼', '1条长茄子', '适量蒜', '适量姜', '适量葱', '适量醋', '少许油']"
白菜炖冻豆腐,"['750g白菜', '600g冻豆腐', '100克瘦猪肉', '适量粉条', '3片姜', '2根香菜', '2个小米椒', '1段葱白', '3勺生抽', '2勺盐', '适量植物油', '少许胡椒粉']"
番茄食蔬打卤面,"['4个西红柿', '一份面条', '4个鸡蛋', '半个土豆', '1小撮木耳', '小块豆腐', '半颗卷心菜', '适量大葱，香葱', '2个八角', '四根香菜']"
炒意大利面,"['适量意大利面', '适量番茄酱', '随意辣酱', '一个西兰花', '少许玉米粒', '少许青豆粒', '一个土豆']"
超Q弹的猪皮冻,"['适量猪皮', '适量葱姜辣椒八角生抽耗油盐']"
麻辣鸡爪,"['30只鸡爪', '一头姜 1棵', '1根葱一颗', '少许花椒', '半把麻椒', '随意枸杞', '一大把线椒', '几个点缀小米蕉']"
开胃早餐脆黄瓜,"['适量白砂糖', '适量老陈醋', '适量，但比老抽多一些。生抽', '适量老抽', '适量蒜', '适量黄瓜', '少点，适量蚝油', '适量花椒', '可有可无炒熟的花生', '适量辣椒', '可有可无芝麻', '适量盐', '适量花生油']"
低油版蝴蝶酥,['适量水']
【十分钟快手减脂低碳菜谱】雪菜腊肠虾仁香辣炒饭（魔芋米）,"['26克腊肠', '1根胡萝卜', '100g冷冻杂菜', '100g洋葱', '100克虾仁', '540g魔芋米', '100g雪菜', '1-3个小米椒', '一汤勺生抽', '适量赤藓糖醇']"
特香碌鹅-鼓油鹅-酱油鹅-隔壁邻居都知道煮鹅（家庭省油版）,"['半只+上半边鹅', '姜片、蒜头、陈皮、八角、香叶适量', '酱油半碗、料酒半碗、清水半碗、冰糖、蚝油适量', '花生油']"
顺德头菜蒸肉饼,"['300克猪肉', '30克大头菜', '一小勺黑椒汁', '适量花生油', '两个小米辣', '一小勺红薯粉', '适量姜末', '适量小葱', '适量生抽', '适量盐']"
韭菜鸡蛋香菇饼,"['150克韭菜', '100克面粉', '2个鸡蛋', '2个香菇']"
会跳舞的大米糕，Q弹香甜可口，吃上就会欲罢不能,"['400g大米', '350g水', '150g糖', '6g酵母']"
香菇蒸鸡,"['5朵香菇', '2只鸡腿', '1勺淀粉', '2勺料酒', '适量姜', '2勺蚝油', '适量胡椒粉', '适量盐', '适量白糖']"
miss 兔的快手菜系列——风琴土豆牛排定食（2分钟牛排嫩出汁）,"['风琴土豆', '1只土豆', '1根迷迭香', '少许黑胡椒', '一勺食用油', '黑胡椒牛排', '一块牛排', '半勺油', '适量黑胡椒', '一人份（我用的赠送的量勺）意面']"
创意橘子之冬日恋歌,"['橘子', '牙签', '小吸管']"
西兰花圣女果焗吐司,"['每片面包一个圣女果', '适量西兰花', '任何喜欢吃的口味的面包片都行面包', '适量马苏里拉奶酪']"
春芽煎蛋,"['2只鸡蛋', '100克春芽', '盐食用油']"
记录自己的乱做全麦粉流沙包,"['40全麦面粉', '15克白糖', '160克面粉', '2克酵母']"
酸汤肥牛「miu的食光记」,"['#主材料', '肥牛卷', '#辅料', '金针菇', '西红柿', '香菜', '青椒', '泡野山椒', '黄灯笼椒酱', '蒜', '小米椒', '姜', '白醋', '盐', '糖']"
红烧肉蛋,"['500克五花肉', '4个鸡蛋', '适量葱、姜', '3个，3片，1块八角、香叶、桂皮', '10ml（分2次放）料酒', '30ml鲜酱油', '30ml红烧汁', '15ml耗油', '30克冰糖', '2克盐']"
肉末烧茄子,"['个茄子', '克肉末', '瓣蒜', '个辣椒']"
爆炒假鲍鱼,"['1个青椒', '250克假鲍鱼', '1个干辣椒']"
烤馒头片,"['3个白馒头', '适量香草粉', '10克黄油', '2枚鸡蛋', '适量白砂糖', '15克黑芝麻']"
胡萝卜玉米炒青椒洋葱,"['1条胡萝卜', '1条玉米', '1个小的洋葱', '1个青椒']"
南瓜蛋黄流沙包,"['6个咸蛋', '50克糖粉', '适量糯米', '适量低筋面粉', '适量南瓜']"
『外焦里嫩成功率超高的锅包肉』,"['200克猪里脊肉', '180克土豆淀粉', '1个鸡蛋清', '若干葱姜蒜', '半根胡萝卜', '10克胡椒粉', '1炒勺白醋', '1炒勺白糖', '1调羹盐', '5滴生抽']"
超开胃番茄牛腩汤,"['克牛腩', '个西红柿', '根葱', '片姜', '个八角', '勺料酒']"
咖喱鸡肉饭,"['1根(小的)胡萝卜', '1块(去骨切丁)鸡胸肉                              ', '1个(小的)洋葱', '1个(小的)土豆', '6块(牛头牌)咖喱块', '1勺料酒', '少许盐', '少许食用油']"
健康营养肉酱意面🍅,"['2人份意大利面', '3个西红柿', '适量肉末', '半个洋葱', '3勺番茄酱', '适量盐', '适量黄油', '2瓣大蒜', '适量牛奶', '2根香肠']"
清炒荷兰豆,"['半斤荷兰豆', '4瓣蒜', '少许盐', '少许油', '半根胡萝卜']"
香辣牛肉酱,"['200g牛肉', '适量花生米', '适量小米椒', '适量生姜', '一头大蒜', '适量芝麻', '四大勺海天黄豆酱']"
豆渣炒蛋,"['一个鸡蛋', '一碗豆渣', '一小段黄瓜']"
宝宝餐 —鸡汤面,"['面条', '5-6个木耳', '2只鸡腿', '葱', '盐']"
红薯布朗尼,"['三个中等红薯', '五大勺可可粉', '五大勺全麦粉', '少量蜂蜜']"
鱼头泡饼,"['500克鲢鱼头', '150克猪肋条肉', '200克油饼', '25克小葱', '红辣椒', '2克干', '10克大葱', '5克姜', '5克大蒜', '10克生抽', '15克番茄酱', '3克盐', '1克味精', '100克花生油']"
懒人版台湾灵魂小吃——鸡翅包饭,"['3只鸡全翅', '5g淀粉', '30g新奥尔良腌料', '适量清水', '适量炒饭', '适量蜂蜜']"
手冲咖啡~果丁丁,"['16g咖啡豆', '300g农夫山泉', '我用的Brewista电子称', '我用的Brewista温控手冲壶', '我用的小富士磨豆机']"
雾霾日的居家汤之 霸王花南北杏雪梨煲瘦肉,"['南杏仁', '北杏仁', '霸王花', '无花果', '瘦肉', '雪梨', '胡萝卜（可选）', '水', '盐']"
脆皮蛋卷（低糖低油）超级好吃、酥脆,"['个鸡蛋1', '克低筋面粉100', '克玉米油30', '克白砂糖30', '适量克黑芝麻', '克牛奶120']"
爽口青瓜酸奶酱汁沙拉,"['根1黄瓜', '克一杯酸奶', '克适量盐', '适量一人份圆生菜', '2小根水果胡萝卜', '一只鸡蛋', '一个百香果', '一茶勺椰子油', '蒜泥一瓣蒜']"
黄金肉松饭团,"['牛肉松', '剩米饭', '香松（日本调味料）', '一颗鸡蛋', '少许面包糠']"
土豆虾仁芝士球,"['半个（大概50克）土豆', '八只（我挑的比较大只）只虾仁（我用的新鲜明虾）', '两片芝士（马苏里拉芝士片）', '5克黑胡椒粉', '10克白胡椒粉', '5克盐', '1个鸡蛋', '30克面包糠']"
和唐風--一頓飯團,"['一小碗米飯', '一片三文魚', '一小勺魚籽', '適量青菜']"
超美味的西红柿蛋汤,"['2个西红柿', '1个鸡蛋', '2勺盐', '1勺淀粉']"
酱大骨,"['克骨头', '根葱', '片姜', '瓣蒜', '个八角', '块桂皮', '片香叶', '粒花椒', '个干辣椒', '克冰糖', '克盐', '勺料酒', '勺酱油', '勺豆瓣酱']"
原味戚风蛋糕卷,"['5个鸡蛋', '90克牛奶', '10克奶粉', '70克（蛋黄20克蛋白50克）细砂糖', '60克玉米油（或无味食用油）', '110克低粉', '几滴柠檬汁（白醋）']"
香椿饭团,"['大米', '香椿']"
